"","CONGLOME","VIVIENDA","HOGAR","UBIGEO","DOMINIO","ESTRATO","FACTOR07","year","family_size","family_size_ame","fg_dairy_food_capita","fg_eggs_capita","fg_fruits_vegetable_other_capita","fg_fruits_vegetable_vita_capita","fg_grains_capita","fg_meatfish_capita","fg_milk_capita","fg_nuts_capita","fg_oil_capita","fg_other_capita","fg_root_capita","fbdg_ASF_capita","fbdg_dairy_capita","fbdg_fruit_capita","fbdg_oilfat_capita","fbdg_other_capita","fbdg_staple_legume_capita","fbdg_vegetable_capita","staple_legume_capita","rural_urban","department","region","area","department_name","year_treated","treated_status","treatment_group","income_net","P5566A","P5566C","juntos_participation","juntos_amount","fbdg_staple_legume_capita_score","fbdg_vegetable_capita_score","fbdg_fruit_capita_score","fbdg_dairy_capita_score","fbdg_ASF_capita_score","fbdg_oilfat_capita_score","fbdg_staple_legume_capita_score_optimal","fbdg_vegetable_capita_score_optimal","fbdg_fruit_capita_score_optimal","fbdg_dairy_capita_score_optimal","fbdg_ASF_capita_score_optimal","fbdg_oilfat_capita_score_optimal","fbdg_staple_legume_capita_log1p","fbdg_vegetable_capita_log1p","fbdg_fruit_capita_log1p","fbdg_dairy_capita_log1p","fbdg_ASF_capita_log1p","fbdg_oilfat_capita_log1p","fg_NA_capita","fbdg_NA_capita"
"71","2007_0004","024","11","010101",4,"2007_4",17.079,2007,1,0.804347826086956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",45575.7544698266,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2007_0004","038","11","010101",4,"2007_4",17.079,2007,2,1.5,NA,NA,NA,NA,155.400155400155,160,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,155.400155400155,NA,155.400155400155,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",61256.4256800521,2,NA,"non_participant",NA,3,NA,NA,NA,2,NA,0,NA,NA,NA,0,NA,5.05241782171785,NA,NA,NA,5.08140436498446,NA,NA,NA
"73","2007_0004","038","11","010101",4,"2007_4",17.079,2007,2,1.5,NA,NA,NA,NA,155.400155400155,160,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,155.400155400155,NA,155.400155400155,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",61256.4256800521,2,NA,"non_participant",NA,3,NA,NA,NA,2,NA,0,NA,NA,NA,0,NA,5.05241782171785,NA,NA,NA,5.08140436498446,NA,NA,NA
"74","2007_0004","080","11","010101",4,"2007_4",17.079,2007,2,1.67391304347826,NA,22.2980751752136,NA,NA,1188.47756604766,199.134199134199,NA,NA,NA,NA,NA,221.432274309413,NA,NA,NA,NA,1188.47756604766,NA,1188.47756604766,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",36834.7564832539,2,NA,"non_participant",NA,2,NA,NA,NA,2,NA,0,NA,NA,NA,0,NA,7.08126946958001,NA,NA,NA,5.4046226701455,NA,NA,NA
"75","2007_0004","080","11","010101",4,"2007_4",17.079,2007,2,1.67391304347826,NA,22.2980751752136,NA,NA,1188.47756604766,199.134199134199,NA,NA,NA,NA,NA,221.432274309413,NA,NA,NA,NA,1188.47756604766,NA,1188.47756604766,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",36834.7564832539,2,NA,"non_participant",NA,2,NA,NA,NA,2,NA,0,NA,NA,NA,0,NA,7.08126946958001,NA,NA,NA,5.4046226701455,NA,NA,NA
"76","2007_0005","008","11","010101",4,"2007_4",7.776,2007,5,3.71919565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",58118.81555689,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2007_0005","008","11","010101",4,"2007_4",7.776,2007,5,3.71919565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",58118.81555689,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2007_0005","008","11","010101",4,"2007_4",7.776,2007,5,3.71919565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",58118.81555689,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2007_0005","008","11","010101",4,"2007_4",7.776,2007,5,3.71919565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",58118.81555689,2,NA,"non_participant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2007_0005","033","11","010101",4,"2007_4",7.776,2007,1,1,NA,NA,2803.73831775701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2803.73831775701,NA,NA,NA,NA,NA,"1","01","Coast","1","amazonas","2011","not_yet_treated","control_grp",32252.2788573539,2,NA,"non_participant",NA,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7.93906552225266,NA,NA,NA,NA,NA
